isi_unique_article_identifier, doi, authors_raw, authors_clean, authors_excluded, title, publication_year
"000327874000002","10.1002/cbic.201300634","Kim, Eun-Kyong; Switzer, Christopher","Kim, Eun-Kyong; Switzer, Christopher","","Polymerase Recognition of a Watson-Crick-Like Metal-Mediated Base Pair: Purine-2,6-Dicarboxylate center dot Copper(II)center dot Pyridine","2013"
"000328705200064","10.1371/journal.pone.0082100","Bardor, Muriel; Bi, Xuezhi; Ho, Steven C L; Koh, Esther Y C; Mariati; Song, Zhiwei; Yang, Yuansheng","Bardor, Muriel; Bi, Xuezhi; Ho, Steven C L; Koh, Esther Y C; Mariati; Song, Zhiwei; Yang, Yuansheng","","An Internal Ribosome Entry Site (IRES) Mutant Library for Tuning Expression Level of Multiple Genes in Mammalian Cells","2013"
"000327802100054","10.1002/anie.201306766","Anandhakumar, Chandran; Bando, Toshikazu; Han, Le; Junetha, Syed; Nagase, Hiroki; Pandian, Ganesh N; Saha, Abhijit; Sato, Shinsuke; Sugiyama, Hiroshi; Taniguchi, Junichi","Anandhakumar, Chandran; Bando, Toshikazu; Han, Le; Junetha, Syed; Nagase, Hiroki; Pandian, Ganesh N; Saha, Abhijit; Sato, Shinsuke; Sugiyama, Hiroshi; Taniguchi, Junichi","","A Synthetic Small Molecule for Targeted Transcriptional Activation of Germ Cell Genes in a Human Somatic Cell","2013"
"000328950600001","10.1186/1475-2859-12-121","Chen, Wenqing; Dai, Daofeng; Deng, Zixin; Huang, Tingting; Wang, Changchun; Zhai, Lipeng","Chen, Wenqing; Dai, Daofeng; Deng, Zixin; Huang, Tingting; Wang, Changchun; Zhai, Lipeng","","Genetic dissection of the polyoxin building block-carbamoylpolyoxamic acid biosynthesis revealing the ""pathway redundancy"" in metabolic networks","2013"
"000337552900079","","Mori, Hirotada; Nakayashiki, Toru; Yokoyama, Katsushi","Mori, Hirotada; Nakayashiki, Toru; Yokoyama, Katsushi","","The new possibilities of conjugation in synthetic biology","2013"
"000336433400001","10.1007/s11706-013-0226-4","Yang, Lei; Zhong, Chao","Yang, Lei; Zhong, Chao","","Advanced engineering and biomimetic materials for bone repair and regeneration","2013"
"000336250500004","10.4161/rna.27102","Contreras, Lydia M; Vazquez-Anderson, Jorge","Contreras, Lydia M; Vazquez-Anderson, Jorge","","Regulatory RNAs Charming gene management styles for synthetic biology applications","2013"
"000329081200007","10.1016/j.biotechadv.2013.02.009","Chen, Xianzhong; Kumar, Ashwani; Prior, Bernard A; Singh, Suren; Tian, Kangming; Wang, Zhengxiang; Zhou, Li","Chen, Xianzhong; Kumar, Ashwani; Prior, Bernard A; Singh, Suren; Tian, Kangming; Wang, Zhengxiang; Zhou, Li","","Metabolic engineering of Escherichia coli: A sustainable industrial platform for bio-based chemical production","2013"
"000329081200043","10.1016/j.biotechadv.2013.08.021","Tee, Kang Lan; Wong, Tuck Seng","Tee, Kang Lan; Wong, Tuck Seng","","Polishing the craft of genetic diversity creation in directed evolution","2013"
"000329988300020","10.1109/JSAC.2013.SUP2.12130020","Bogdan, Paul; Marculescu, Radu; Wei, Guopeng","Bogdan, Paul; Marculescu, Radu; Wei, Guopeng","","Bumpy Rides: Modeling the Dynamics of Chemotactic Interacting Bacteria","2013"
"000329301300003","","Bergmans, Hans E; Bleijs, Diederik A; van den Akker, Eric; van der Vlugt, Cecile J B","Bergmans, Hans E; Bleijs, Diederik A; van den Akker, Eric; van der Vlugt, Cecile J B","","Environmental Risk Assessment of Replication Competent Viral Vectors Applied in Clinical Trials: Potential Effects of Inserted Sequences","2013"
"000329601100001","10.1016/j.cbpa.2013.11.005","Arkin, Adam P; Fussenegger, Martin","Arkin Adam P.; Fussenegger, Martin","","SYNTHETIC BIOLOGY","2013"
"000329601100002","10.1016/j.cbpa.2013.09.013","Gardner, Timothy S; Hawkins, Kristy","Gardner, Timothy S; Hawkins, Kristy","","Synthetic Biology: evolution or revolution? A co-founder's perspective","2013"
"000329601100003","10.1016/j.cbpa.2013.10.003","Nielsen, Alec A K; Segall-Shapiro, Thomas H; Voigt, Christopher A","Nielsen, Alec A K; Segall-Shapiro, Thomas H; Voigt, Christopher A","","Advances in genetic circuit design: novel biochemistries, deep part mining, and precision gene expression","2013"
"000329601100004","10.1016/j.cbpa.2013.09.012","Arkin, Adam Paul","Arkin Adam P.","","A wise consistency: engineering biology for conformity, reliability, predictability","2013"
"000329601100006","10.1016/j.cbpa.2013.10.006","Aubel, Dominique; Fussenegger, Martin; Ye, Haifeng","Aubel, Dominique; Fussenegger, Martin; Ye, Haifeng","","Synthetic mammalian gene circuits for biomedical applications","2013"
"000329874400043","10.1093/nar/gkt787","Batey, Robert T; Ceres, Pablo; Trausch, Jeremiah J","Batey, Robert T; Ceres, Pablo; Trausch, Jeremiah J","","Engineering modular 'ON' RNA switches using biological components","2013"
"000329137100045","10.1021/nn404305e","Idili, Andrea; Plaxco, Kevin W; Ricci, Francesco; Vallee-Belisle, Alexis","Idili, Andrea; Plaxco Kevin W.; Ricci, Francesco; Vallee-Belisle, Alexis","","Thermodynamic Basis for Engineering High-Affinity, High-Specificity Binding-Induced DNA Clamp Nanoswitches","2013"
"000329396200012","10.1038/ncomms3894","Cobb, Ryan E; Huang, Hua; Liang, Jing; Lu, Lu; Luo, Yunzi; Shao, Zengyi; Wang, Meng; Zhao, Huimin","Cobb, Ryan E; Huang, Hua; Liang, Jing; Lu, Lu; Luo, Yunzi; Shao, Zengyi; Wang, Meng; Zhao, Huimin","","Activation and characterization of a cryptic polycyclic tetramate macrolactam biosynthetic gene cluster","2013"
"000329077800001","10.1021/sb400037a","Miu, Anh; Nomura, Yoko; Yokobayashi, Yohei; Zhou, Linlin","Miu, Anh; Nomura, Yoko; Yokobayashi, Yohei; Zhou, Linlin","","Controlling Mammalian Gene Expression by Allosteric Hepatitis Delta Virus Ribozymes","2013"
"000329077800005","10.1021/sb4000417","Bram, Eran E; Gupta, Saurabh; Weiss, Ron","Bram, Eran E; Gupta, Saurabh; Weiss, Ron","","Genetically Programmable Pathogen Sense and Destroy","2013"
"000328806200009","10.1016/j.copbio.2013.03.003","Garst, Andrew; Gill, Ryan T; Kaar, Joel L; Nordwald, Erik M","Garst, Andrew D; Gill, Ryan T; Kaar, Joel L; Nordwald, Erik M","","Accelerated protein engineering for chemical biotechnology via homologous recombination","2013"
"000328806200011","10.1016/j.copbio.2013.031015","Atsumi, Shota; Desai, Shuchi H","Atsumi, Shota; Desai, Shuchi H","","Photosynthetic approaches to chemical biotechnology","2013"
"000328806200014","10.1016/j.copbio.2013.02.021","Matsumoto, Ken'ichiro; Taguchi, Seiichi","Matsumoto, Ken'ichiro; Taguchi, Seiichi","","Enzyme and metabolic engineering for the production of novel biopolymers: crossover of biological and chemical processes","2013"
"000328806200015","10.1016/j.copbio.2013.03.002","Van Dien, Stephen","Van Dien, Stephen","","From the first drop to the first truckload: commercialization of microbial processes for renewable chemicals","2013"
"000328806200020","10.1016/j.copbio.2013.02.024","Glieder, Anton; Hartner, Franz S; Vogl, Thomas","Glieder, Anton; Hartner, Franz S; Vogl, Thomas","","New opportunities by synthetic biology for biopharmaceutical production in Pichia pastoris","2013"
"000328806200026","10.1016/j.copbio.2013.02.019","Bhan, Namita; Koffas, Mattheos A G; Xu, Peng","Bhan, Namita; Koffas, Mattheos A G; Xu, Peng","","Pathway and protein engineering approaches to produce novel and commodity small molecules","2013"
"000328806200027","10.1016/j.copbio.2013.03.006","Breitling, Rainer; Frasch, Hans-Joerg; Medema, Marnix H; Takano, Eriko","Breitling, Rainer; Frasch, Hans-Joerg; Medema, Marnix H; Takano, Eriko","","Design-based re-engineering of biosynthetic gene clusters: plug-and-play in practice","2013"
"000329148700019","10.1016/j.sbi.2013.07.005","Aloy, Patrick; Ceol, Arnaud; Mosca, Roberto; Pons, Tirso; Valencia, Alfonso","Aloy, Patrick; Ceol, Arnaud; Mosca, Roberto; Pons, Tirso; Valencia, Alfonso","","Towards a detailed atlas of protein-protein interactions","2013"
"000328816400008","10.1534/genetics.113.155846","Huberman, Lori B; Murray, Andrew W","Huberman, Lori B; Murray, Andrew W","","Genetically Engineered Transvestites Reveal Novel Mating Genes in Budding Yeast","2013"
"000328341200004","10.1002/biot.201300018","Chappell, James; Loughrey, David; Lucks, Julius; Meyer, Sarai; Takahashi, Melissa K; Watters, Kyle E","Chappell, James; Loughrey, David; Lucks, Julius B; Meyer, Sarai; Takahashi, Melissa K; Watters, Kyle E","","The centrality of RNA for engineering gene expression","2013"
"000328341200005","10.1002/biot.201300021","Abatemarco, Joseph; Alper, Hal S; Hill, Andrew","Abatemarco, Joseph; Alper, Hal; Hill, Andrew","","Expanding the metabolic engineering toolbox with directed evolution","2013"
"000328341200008","10.1002/biot.201300028","Chen, Yun; Nielsen, Jens; Siewers, Verena; Tippmann, Stefan","Chen, Yun; Nielsen, Jens; Siewers, Verena; Tippmann, Stefan","","From flavors and pharmaceuticals to advanced biofuels: Production of isoprenoids in Saccharomyces cerevisiae","2013"
"000328341200013","10.1002/biot.201300186","Cornish, Virginia W; Harton, Marie D; Wingler, Laura M","Cornish Virginia W.; Harton, Marie D; Wingler, Laura M","","Transcriptional regulation improves the throughput of three-hybrid counter selections in Saccharomyces cerevisiae","2013"
"000328125100001","10.1091/mbc.E13-03-0155","Polka, Jessica K; Silver, Pamela A","Polka, Jessica K; Silver, Pamela A","","Building synthetic cellular organization","2013"
"000328125300001","10.1007/s11047-013-9402-9","Caves, Leo; Lones, Michael; Stepney, Susan; Tyrrell, Andy","Caves, Leo; Lones, Michael; Stepney, Susan; Tyrrell, Andy","","Special issue on the frontiers of natural computing","2013"
"000328125300005","10.1007/s11047-013-9380-y","Macia, Javier; Sole, Ricard V","Macia, Javier; Sole, Ricard","","Expanding the landscape of biological computation with synthetic multicellular consortia","2013"
"000327738300005","10.1057/biosoc.2013.28","Frow, Emma K","Frow, Emma","Frow, Emma","Making big promises come true? Articulating and realizing value in synthetic biology","2013"
"000327738300007","10.1057/biosoc.2013.27","Calvert, Jane","Calvert, Jane","Calvert, Jane","Systems biology, big science and grand challenges","2013"
"000327784500008","10.1038/embor.2013.178","Moon, Tae Seok; Nielsen, David R","Moon, Tae Seok; Nielsen, David R","","From promise to practice - The role of synthetic biology in green chemistry","2013"
"000327843200021","10.1016/j.jbiotec.2013.10.019","Bressan, Fabiana; Furtado, Gilvan P; Meireles, Flavio; Ribeiro, Lucas F; Ward, Richard J","Bressan, Fabiana; Furtado, Gilvan P; Meireles, Flavio; Ribeiro, Lucas F; Ward, Richard John","","D-Xylose detection in Escherichia coli by a xylose binding protein-dependent response","2013"
"000327369700005","10.1080/14636778.2013.764067","Mackenzie, Adrian","Mackenzie, Adrian","Mackenzie, Adrian","From Validating to Verifying: Public Appeals in Synthetic Biology","2013"
"000327580000011","10.1016/j.arcontrol.2013.09.011","Del Vecchio, Domitilla","Del Vecchio, Domitilla","","A control theoretic framework for modular analysis and design of biomolecular networks","2013"
"000327711100004","10.1111/1462-2920.12214","Cabre, Elisa J; Jimenez, Mercedes; Martos, Ariadna; Raso, Ana; Rivas, German","Cabre, Elisa J; Jimenez, Mercedes; Martos, Ariadna; Raso, Ana; Rivas, German","","Giant vesicles: a powerful tool to reconstruct bacterial division assemblies in cell-like compartments","2013"
"000326631100001","10.1007/s10529-013-1297-0","Kontoravdi, Cleo; Royle, Kate","Kontoravdi, Cleo; Royle, Kate E","","A systems biology approach to optimising hosts for industrial protein production","2013"
"000326688000002","10.1134/S0003683813090056","Debabov, V G; Gvilava, I T; Larina, A S; Manukhov, I V; Mokrova, S S; Sineoky, S P; Voyushina, N E; Vybornaya, T V; Yuzbashev, T V; Yuzbasheva, E Yu","Debabov, V G; Gvilava, I T; Larina, A S; Manukhov, I V; Mokrova, S S; Sineoky, S P; Voyushina, N E; Vybornaya, T V; Yuzbashev, T V; Yuzbasheva, E Yu","","Directed Modification of Escherichia coli Metabolism for the Design of Threonine-Producing Strains","2013"
"000326842900006","10.1111/1567-1364.12087","Bosman, Lizanne; Chroumpi, Soultana; Daran, Jean-Marc; Daran-Lapujade, Pascale; Kuijpers, Niels G A; Pronk, Jack T; Solis-Escalante, Daniel; Vos, Tim","Bosman, Lizanne; Chroumpi, Soultana; Daran, Jean-Marc; Daran-Lapujade, Pascale; Kuijpers, Niels G A; Pronk, Jack T; Solis-Escalante, Daniel; Vos, Tim","","One-step assembly and targeted integration of multigene constructs assisted by the I-SceI meganuclease in Saccharomyces cerevisiae","2013"
"000325089800018","10.1002/bip.22337","Abfalter, Ingrid; Flamm, Christoph; Hammer, Stefan; Hofacker, Ivo L; Siederdissen, Christian Hoener Zu; Stadler, Peter F","Abfalter, Ingrid; Flamm, Christoph; Hammer, Stefan; Hofacker, Ivo L; Siederdissen, Christian Hoener Zu; Stadler, Peter F","","Computational Design of RNAs with Complex Energy Landscapes","2013"
"000330181300014","10.1002/cbic.201300332","Billerbeck, Sonja; Calles, Belen; de Lorenzo, Victor; Mueller, Christian L; Panke, Sven","Billerbeck, Sonja; Calles, Belen; de Lorenzo, Victor; Mueller, Christian L; Panke, Sven","","Towards Functional Orthogonalisation of Protein Complexes: Individualisation of GroEL Monomers Leads to Distinct Quasihomogeneous Single Rings","2013"
"000328950000001","10.1186/1475-2859-12-117","Tang, Yinjie J; Varman, Arul M; You, Le; Yu, Yi","Tang, Yinjie J; Varman, Arul M; You, Le; Yu, Yi","","Photoautotrophic production of D-lactic acid in an engineered cyanobacterium","2013"
"000327582900005","10.1002/anie.201305267","Kool, Eric T; Winnacker, Malte","Kool Eric T.; Winnacker, Malte","","Artificial Genetic Sets Composed of Size-Expanded Base Pairs","2013"
"000329781500003","10.1186/1752-0509-7-131","Fromion, Vincent; He, Fei; Westerhoff, Hans V","Fromion, Vincent; He, Fei; Westerhoff, Hans V","","Im) Perfect robustness and adaptation of metabolic networks subject to metabolic and gene-expression regulation: marrying control engineering with metabolic control analysis","2013"
"000326807900027","10.1002/anie.201307661","Chong, Jenny; Plouffe, Steven W; Wang, Dong; Wengel, Jesper; Xu, Liang","Chong, Jenny; Plouffe, Steven W; Wang, Dong; Wengel, Jesper; Xu, Liang","","A Chemical Perspective on Transcriptional Fidelity: Dominant Contributions of Sugar Integrity Revealed by Unlocked Nucleic Acids","2013"
"000328949100001","10.1186/1475-2859-12-110","Becker, Judith; Borchert, Nicole S; Bremer, Erhard; Harder, Bjoern J; Kohlstedt, Michael; Schaefer, Rudolf; Stoeveken, Nadine; Wittmann, Christoph","Becker, Judith; Borchert, Nicole S; Bremer, Erhard; Harder, Bjoern J; Kohlstedt, Michael; Schaefer, Rudolf; Stoeveken, Nadine; Wittmann, Christoph","","Systems metabolic engineering of Corynebacterium glutamicum for production of the chemical chaperone ectoine","2013"
"000327258600034","10.1371/journal.pone.0079415","Guan, Yifu; Li, Jun; Mu, Runqing; Tong, Zhaoxue; Zhao, Bin; Zhao, Guojie","Guan, Yifu; Li, Jun; Mu, Runqing; Tong, Zhaoxue; Zhao, Bin; Zhao, Guojie","","Enzymatic Cleavage of Type II Restriction Endonucleases on the 2 '-O-Methyl Nucleotide and Phosphorothioate Substituted DNA","2013"
"000325945800001","10.1016/j.ces.2013.08.001","Leong, Susanna Su Jan","Leong, Susanna Su Jan","","Synthetic biology special issue","2013"
"000325945800002","10.1016/j.ces.2012.12.022","Alper, Hal S; Crook, Nathan","Alper, Hal; Crook, Nathan C","","Model-based design of synthetic, biological systems","2013"
"000325945800003","10.1016/j.ces.2012.04.001","Chuan, Yap P; Lua, Linda H L; Middelberg, Anton P J; Wibowo, Nani","Chuan, Yap P; Lua, Linda H L; Middelberg, Anton P J; Wibowo, Nani","","Modular engineering of a microbially-produced viral capsomere vaccine for influenza","2013"
"000325945800004","10.1016/j.ces.2013.04.033","Adams, Paul D; Batth, Tanveer S; Keasling, Jay D; Lee, Taek Soon; Murray, Gregory W; Petzold, Christopher J; Prasad, Nilu; Woo, Han Min","Adams, Paul D; Batth, Tanveer S; Keasling, Jay D; Lee, Taek Soon; Murray, Gregory W; Petzold, Christopher J; Prasad, Nilu; Woo, Han Min","","Application of targeted proteomics and biological parts assembly in E. coli to optimize the biosynthesis of an anti-malarial drug precursor, amorpha-4,11-diene","2013"
"000325945800005","10.1016/j.ces.2013.03.021","Chang, Matthew Wook; Hwang, In Young; Lo, Tat-Ming; Tan, Mui Hua","Chang, Matthew Wook; Hwang, In Young; Lo, Tat-Ming; Tan, Mui Hua","","Designing a synthetic genetic circuit that enables cell density-dependent auto-regulatory lysis for macromolecule release","2013"
"000325945800006","10.1016/j.ces.2013.01.017","Jung, Gyoo Yeol; Seo, Sang Woo","Jung, Gyoo Yeol; Seo, Sang Woo","","Synthetic regulatory RNAs as tools for engineering biological systems: Design and applications","2013"
"000325945800007","10.1016/j.ces.2012.09.007","Kim, Eunji; Kim, Jin-Soo; Lee, Sang-Woo; Oh, Min-Kyu","Kim, Eunji; Kim, Jin-Soo; Lee, Sang-Woo; Oh, Min-Kyu","","Artificial transcription regulator as a tool for improvement of cellular property in Saccharomyces cerevisiae","2013"
"000325945800009","10.1016/j.ces.2012.12.023","Agnew, Daniel E; Pfleger, Brian F","Agnew, Daniel E; Pfleger, Brian F","","Synthetic biology strategies for synthesizing polyhydroxyalkanoates from unrelated carbon sources","2013"
"000325945800012","10.1016/j.ces.2013.02.017","Afroz, Taliman; Beisel, Chase L","Afroz, Taliman; Beisel Chase L.","","Understanding and exploiting feedback in synthetic biology","2013"
"000325945800013","10.1016/j.ces.2012.12.016","Arshath, Mohamed; Chang, Matthew Wook; Poh, Chueh Loo; Saeidi, Nazanin","Arshath, Mohamed; Chang, Matthew Wook; Poh, Chueh Loo; Saeidi, Nazanin","","Characterization of a quorum sensing device for synthetic biology design: Experimental and modeling validation","2013"
"000325945800014","10.1016/j.ces.2012.09.006","Chung, Bevan Kai-Sheng; Klement, Maximilian; Lakshmanan, Meiyappan; Lee, Dong-Yup; Mohanty, Bijayalaxmi","Chung, Bevan Kai-Sheng; Klement, Maximilian; Lakshmanan, Meiyappan; Lee, Dong-Yup; Mohanty, Bijayalaxmi","","Genome-scale in silico modeling and analysis for designing synthetic terpenoid-producing microbial cell factories","2013"
"000325945800015","10.1016/j.ces.2012.10.009","Bhan, Namita; Khalidi, Omar; Koffas, Mattheos A G; Xu, Peng","Bhan, Namita; Khalidi, Omar; Koffas, Mattheos A G; Xu, Peng","","Redirecting carbon flux into malonyl-CoA to improve resveratrol titers: Proof of concept for genetic interventions predicted by OptForce computational framework","2013"
"000325945800016","10.1016/j.ces.2012.06.013","Lee, Jung-Kul; Luo, Yunzi; Zhao, Huimin","Lee, Jung-Kul; Luo, Yunzi; Zhao, Huimin","","Challenges and opportunities in synthetic biology for chemical engineers","2013"
"000328948500002","10.1186/1475-2859-12-107","Beller, Harry R; Bi, Changhao; Chhabra, Swapnil R; Hillson, Nathan J; Mueller, Jana; Singer, Steven W; Su, Peter; Yeh, Yi-Chun","Beller, Harry R; Bi, Changhao; Chhabra, Swapnil R; Hillson, Nathan J; Mueller, Jana; Singer, Steven W; Su, Peter; Yeh, Yi-Chun","","Development of a broad-host synthetic biology toolbox for ralstonia eutropha and its application to engineering hydrocarbon biofuel production","2013"
"000327252100047","10.1371/journal.pone.0078737","Forero, Oscar; Hall, Stephen; Oldham, Paul","Forero, Oscar; Hall, Stephen; Oldham, Paul","Forero, Oscar; Hall, Stephen; Oldham, Paul","Biological Diversity in the Patent System","2013"
"000328639800001","10.1186/1471-2164-14-769","Guo, Feng-Biao; Hua, Zhi-Gang; Huang, Jian; Rao, Nini; Ye, Yuan-Nong","Guo, Feng-Biao; Hua, Zhi-Gang; Huang, Jian; Rao, Nini; Ye, Yuan-Nong","","CEG: a database of essential gene clusters","2013"
"000326597400072","10.1371/journal.pone.0079557","Heng Phon Too; Stephanopoulos, Gregory; Zhou, Kang; Zou, Ruiyang","Phon, Too Heng; Stephanopoulos, Gregory; Zhou, Kang; Zou, Ruiyang","","Combinatorial Engineering of 1-Deoxy-D-Xylulose 5-Phosphate Pathway Using Cross-Lapping In Vitro Assembly (CLIVA) Method","2013"
"000326550800041","10.1073/pnas.1312414110","Charpin-El Hamri, Ghislaine; Fussenegger, Martin; Roessger, Katrin","Charpin-El-Hamri, Ghislaine; Fussenegger, Martin; Roessger, Katrin","","Reward-based hypertension control by a synthetic brain-dopamine interface","2013"
"000326292100005","10.1002/cbic.201300456","Agarwala, Prachi; Maiti, Souvik; Pandey, Satyaprakash","Agarwala, Prachi; Maiti, Souvik; Pandey, Satyaprakash","","G-Quadruplexes as Tools for Synthetic Biology","2013"
"000336905300009","10.4161/bioe.23885","Marienhagen, Jan; van Summeren-Wesenhagen, Philana V","Marienhagen, Jan; van Summeren-Wesenhagen, Philana V","","Putting bugs to the blush Metabolic engineering for phenylpropanoid-derived products in microorganisms","2013"
"000336905300019","10.4161/bioe.24703","Lale, Rahmi; Valla, Svein; Zwick, Friederike","Lale, Rahmi; Valla, Svein; Zwick, Friederike","","Combinatorial engineering for heterologous gene expression","2013"
"000329233200007","10.1007/s12257-013-0303-7","Ahn, Jin-Ho; Kim, Dong-Myung; Lee, Eun Yeol; Lee, Kyung-Ho; Shim, Jae-Won","Ahn, Jin-Ho; Kim, Dong-Myung; Lee, Eun Yeol; Lee, Kyung-Ho; Shim, Jae-Won","","Streamlined Cell-free Protein Synthesis from Sequence Information","2013"
"000327863600008","10.1002/bit.24946","Yuan, Yongbo; Zhao, Huimin","Yuan, Yongbo; Zhao, Huimin","","Directed Evolution of a Highly Efficient Cellobiose Utilizing Pathway in an Industrial Saccharomyces cerevisiae strain","2013"
"000327863600020","10.1002/bit.24975","Collins, Cynthia H; Marchand, Nicholas","Collins, Cynthia H; Marchand, Nicholas","","Peptide-Based Communication System Enables Escherichia coli to Bacillus megaterium Interspecies Signaling","2013"
"000328141800005","10.1002/biot.201200385","Kim, Dong-Myung; Lee, Kyung-Ho","Kim, Dong-Myung; Lee, Kyung-Ho","","Applications of cell-free protein synthesis in synthetic biology: Interfacing bio-machinery with synthetic environments","2013"
"000328362500010","10.1142/S0218127413501800","Tan, Jinying; Zou, Xiufen","Tan, Jinying; Zou, Xiufen","","COMPLEX DYNAMICAL ANALYSIS OF A COUPLED NETWORK FROM INNATE IMMUNE RESPONSES","2013"
"000328080100006","10.1016/j.ymben.2013.09.003","Jung, Gyoo Yeol; Kim, Se Yeon; Lim, Jae Hyung; Seo, Sang Woo","Jung, Gyoo Yeol; Kim, Se Yeon; Lim, Jae Hyung; Seo, Sang Woo","","Model-driven rebalancing of the intracellular redox state for optimization of a heterologous n-butanol pathway in Escherichia coli","2013"
"000328080100019","10.1016/j.ymben.2013.10.006","Copeland, Matthew F; Pfleger, Brian F; Politz, Mark C; Raines, Thomas C; Rose, Joshua P; Schumacher, Martin H; Youngquist, J Tyler","Copeland, Matthew F; Pfleger, Brian F; Politz, Mark C; Raines, Thomas C; Rose, Joshua P; Schumacher, Martin H; Youngquist, J Tyler","","Production of medium chain length fatty alcohols in Escherichia coli","2013"
"000327699900005","10.1145/2504775","Marchal, Kathleen; Vanderleyden, Jos; Venken, Lyn","Marchal, Kathleen; Vanderleyden, Jos; Venken, Lyn","","Synthetic Biology and Microdevices: A Powerful Combination","2013"
"000327254800002","10.1016/j.jbiotec.2013.05.007","Erb, Tobias J; Rosenthal, Raoul G; von Borzyskowski, Lennart Schada","Erb, Tobias J; Rosenthal, Raoul G; von Borzyskowski, Lennart Schada","","Evolutionary history and biotechnological future of carboxylases","2013"
"000327541800038","10.1093/nar/gkt758","Chen, Jan-Hung; Lienert, Florian; Norsworthy, Michael; Richardson, Ryan R; Silver, Pamela A; Torella, Joseph P","Chen, Jan-Hung; Lienert, Florian; Norsworthy, Michael; Richardson, Ryan R; Silver, Pamela A; Torella, Joseph P","","Two- and three-input TALE-based AND logic computation in embryonic stem cells","2013"
"000327175400004","10.1021/sb400051t","Chen, Tao; Gu, Qun; Li, Yifan; Lin, Zhenquan; Wang, Zhiwen; Zhao, Xueming","Chen, Tao; Gu, Qun; Li, Yifan; Lin, Zhenquan; Wang, Zhiwen; Zhao, Xueming","","Multiplex Iterative Plasnnid Engineering for Combinatorial Optimization of Metabolic Pathways and Diversification of Protein Coding Sequences","2013"
"000327175400005","10.1021/sb400058n","Abil, Zhanar; Li, Chun; Luo, Yunzi; Rao, Guodong; Shao, Zengyi; Zhao, Huimin","Abil, Zhanar; Li, Chun; Luo, Yunzi; Rao, Guodong; Shao, Zengyi; Zhao, Huimin","","Refactoring the Silent Spectinabilin Gene Cluster Using a Plug-and-Play Scaffold","2013"
"000326905800010","10.1016/j.bbrc.2013.09.062","Ayyadurai, Niraikulam; Deepankumar, Kanagavel; Nadarajan, Saravanan Prabhu; Yun, Hyungdon","Ayyadurai, Niraikulam; Deepankumar, Kanagavel; Nadarajan, Saravanan Prabhu; Yun, Hyungdon","","Enhancing the biophysical properties of mRFP1 through incorporation of fluoroproline","2013"
"000326815500002","10.2217/fmb.13.119","Cui, Lun; Shearwin, Keith; St-Pierre, Francois","Cui, Lun; Shearwin, Keith; St-Pierre, Francois","","Repurposing site-specific recombinases for synthetic biology","2013"
"000326615000051","10.1021/pr400640u","Chen, Lei; Gao, Lianju; Niu, Xiangfeng; Shi, Mengliang; Tian, Xiaoxu; Wang, Jiangxin; Zhang, Weiwen","Chen, Lei; Gao, Lianju; Niu, Xiangfeng; Shi, Mengliang; Tian, Xiaoxu; Wang, Jiangxin; Zhang, Weiwen","","Global Metabolomic and Network analysis of Escherichia coli Responses to Exogenous Biofuels","2013"
"000326560000001","10.1016/j.tibtech.2013.08.004","Prindle, Arthur","Prindle, Arthur","","Synthetic biology at all scales","2013"
"000326560000005","10.1016/j.tibtech.2013.08.006","Claassens, Nico J; de Vos, Willem M; dos Santos, Vitor A P Martins; van der Oost, John; Volpers, Michael","Claassens, Nico J; de Vos, Willem M; dos Santos, Vitor Martins; van der Oost, John; Volpers, Michael","","Potential of proton-pumping rhodopsins: engineering photosystems into microorganisms","2013"
"000325976500008","10.1111/ele.12176","Abbott, Rachel L; Deal, Michael S; Kwan, Garfield T; Litchman, Elena; Mandal, Shovon; McBride, Robert C; Shurin, Jonathan B; Smith, Val H","Abbott, Rachel L; Deal, Michael S; Kwan, Garfield T; Litchman, Elena; Mandal, Shovon; McBride, Robert C; Shurin, Jonathan B; Smith, Val H","","Industrial-strength ecology: trade-offs and opportunities in algal biofuel production","2013"
"000325546400002","10.1111/1751-7915.12066","Choi, So Young; Lee, Sang Yup; Park, Si Jae; Shin, Jae Ho; Yang, Jung Eun","Choi, So Young; Lee, Sang Yup; Park, Si Jae; Shin, Jae Ho; Yang, Jung Eun","","Microbial production of lactate-containing polyesters","2013"
"000325620000003","10.1002/wrna.1185","Furuta, Hiroyuki; Ikawa, Yoshiya; Ishikawa, Junya","Furuta, Hiroyuki; Ikawa, Yoshiya; Ishikawa, Junya","","RNA Tectonics (tectoRNA) for RNA nanostructure design and its application in synthetic biology","2013"
"000325471900009","10.1177/0971721813498501","Calvert, Jane","Calvert, Jane","Calvert, Jane","Engineering Biology and Society: Reflections on Synthetic Biology","2013"
"000324352700007","10.1016/j.biotechadv.2013.03.012","Jang, Sungho; Jeong, Jun Hong; Jung, Gyoo Yeol; Kim, Se Yeon; Kim, Seong Cheol; Lim, Hyun Gyu; Lim, Jae Hyung; Min, Byung Eun; Seo, Sang Woo; Yang, Jina","Jang, Sungho; Jeong, Jun Hong; Jung, Gyoo Yeol; Kim, Se Yeon; Kim, Seong Cheol; Lim, Hyun Gyu; Lim, Jae Hyung; Min, Byung Eun; Seo, Sang Woo; Yang, Jina","","Synthetic biology: Tools to design microbes for the production of chemicals and fuels","2013"
